user_x, user_y, agv_x, agv_y, gaze_vector_x, gaze_vector_y, gaze_vector_z, user_yaw, agv_user_distance_x, agv_user_distance_y, agv_speed_x, agv_speed_y, user_velocity_x, user_velocity_y, is_user_moving, intent_to_cross, gazing_station, gazing_station_cos, facing_sidewalk, facing_road, on_sidewalk, on_road, closest_station, distance_to_closest_station_x, distance_to_closest_station_y, looking_at_agv, start_station_id, end_station_id, distance_from_start_station_x, distance_from_start_station_y, distance_from_end_station_x, distance_from_end_station_y, facing_start_station, facing_end_station
10730.1416,5742.428711,6126.384277,6677.337891,-0.862472,0.260667,-0.432167,45,4603.757324,934.90918,673.830566,0.222168,-255.285156,-4.40625,TRUE,TRUE,1,0.999848,TRUE,FALSE,FALSE,FALSE,8,2588.858398,53.571289,TRUE,8,6,2588.858398,53.571289,3091.141602,43.571289,FALSE,TRUE
10438.14746,5742.152344,5452.701172,6677.116211,-0.861722,0.371375,-0.343014,45,4985.446289,934.963867,673.683105,0.22168,-291.994141,-0.276367,TRUE,TRUE,1,0.996272,TRUE,FALSE,FALSE,FALSE,6,2799.147461,43.847656,TRUE,8,6,2880.852539,53.847656,2799.147461,43.847656,FALSE,TRUE
10226.64063,5774.047852,4784.214355,6676.892578,-0.848676,0.421577,-0.31831,45,5442.42627,902.844727,668.486816,0.223633,-211.506836,31.895508,TRUE,TRUE,3,0.992617,TRUE,FALSE,FALSE,FALSE,6,2587.640625,11.952148,TRUE,8,6,3092.359375,21.952148,2587.640625,11.952148,FALSE,TRUE
9979.063477,5833.360352,4115.277832,6676.662109,-0.839431,0.385306,-0.377153,45,5863.785645,843.301758,668.936523,0.230469,-247.577148,59.3125,TRUE,TRUE,1,0.994677,TRUE,FALSE,FALSE,FALSE,6,2340.063477,47.360352,TRUE,8,6,3339.936523,37.360352,2340.063477,47.360352,FALSE,TRUE
9721.610352,5876.253418,3441.434082,6676.429199,-0.872833,0.267236,-0.406944,45,6280.17627,800.175781,673.84375,0.23291,-257.453125,42.893066,TRUE,TRUE,1,0.999392,TRUE,FALSE,FALSE,FALSE,6,2082.610352,90.253418,TRUE,8,6,3597.389648,80.253418,2082.610352,90.253418,FALSE,TRUE
9462.170898,5886.624512,2767.625244,6676.196289,-0.873181,0.323389,-0.359889,45,6694.545654,789.571777,673.808838,0.23291,-259.439453,10.371094,TRUE,TRUE,1,0.999905,TRUE,FALSE,FALSE,FALSE,6,1823.170898,100.624512,TRUE,8,6,3856.829102,90.624512,1823.170898,100.624512,FALSE,TRUE
9199.34668,5919.260742,2093.746582,6675.962891,-0.826167,0.395125,-0.398208,45,7105.600098,756.702148,673.878662,0.233398,-262.824219,32.63623,TRUE,TRUE,1,0.995188,TRUE,FALSE,FALSE,FALSE,6,1560.34668,133.260742,TRUE,8,6,4119.65332,123.260742,1560.34668,133.260742,FALSE,TRUE
8931.813477,5998.64502,1419.914429,6675.729004,-0.861347,0.311625,-0.396167,45,7511.899048,677.083984,673.832153,0.233887,-267.533203,79.384277,TRUE,TRUE,1,0.999996,TRUE,FALSE,TRUE,FALSE,6,1292.813477,212.64502,TRUE,8,6,4387.186523,202.64502,1292.813477,212.64502,FALSE,TRUE
8693.764648,6055.453613,919.264221,6674.577148,-0.901254,0.226718,-0.36769,45,7774.500427,619.123535,500.650208,1.151855,-238.048828,56.808594,TRUE,TRUE,1,0.994241,TRUE,FALSE,TRUE,FALSE,6,1054.764648,269.453613,TRUE,8,6,4625.235352,259.453613,1054.764648,269.453613,FALSE,TRUE
8453.787109,6055.631836,949.461609,6672.907227,-0.906375,0.253597,-0.333833,45,7504.3255,617.275391,30.197388,1.669922,-239.977539,0.178223,TRUE,TRUE,1,0.995745,TRUE,FALSE,TRUE,FALSE,6,814.787109,269.631836,TRUE,8,6,4865.212891,259.631836,814.787109,269.631836,FALSE,TRUE
8199.910156,6071.248047,883.091248,6673.780762,-0.852194,0.344153,-0.392667,45,7316.818909,602.532715,66.370361,0.873535,-253.876953,15.616211,TRUE,TRUE,1,0.999968,TRUE,FALSE,TRUE,FALSE,6,560.910156,285.248047,TRUE,8,6,5119.089844,275.248047,560.910156,285.248047,FALSE,FALSE
7927.351562,6136.273438,848.334534,6674.206543,-0.886319,0.257722,-0.378903,45,7079.017029,537.933105,34.756714,0.425781,-272.558594,65.025391,TRUE,TRUE,1,0.995144,TRUE,FALSE,TRUE,FALSE,6,288.351562,350.273438,TRUE,8,6,5391.648438,340.273438,288.351562,350.273438,FALSE,FALSE
7696.243164,6175.567383,847.261597,6674.130859,-0.821986,-0.344236,-0.409722,45,6848.981567,498.563477,1.072937,0.075684,-231.108398,39.293945,TRUE,TRUE,4,0.981246,TRUE,FALSE,TRUE,FALSE,6,57.243164,389.567383,TRUE,8,6,5622.756836,379.567383,57.243164,389.567383,FALSE,FALSE
7579.316406,6150.598633,847.257446,6674.038574,-0.464681,-0.779458,-0.405972,45,6732.05896,523.439941,0.00415,0.092285,-116.926758,-24.96875,TRUE,FALSE,6,0.76494,FALSE,FALSE,TRUE,FALSE,6,59.683594,364.598633,FALSE,8,6,5739.683594,354.598633,59.683594,364.598633,FALSE,FALSE
7573.432129,6108.068359,847.253052,6673.947266,-0.482845,-0.736042,-0.466451,45,6726.179077,565.878906,0.004395,0.091309,-5.884277,-42.530273,FALSE,FALSE,6,0.709913,FALSE,FALSE,TRUE,FALSE,6,65.567871,322.068359,FALSE,8,6,5745.567871,312.068359,65.567871,322.068359,FALSE,FALSE
7567.437012,5996.771973,847.248657,6673.855957,-0.614597,-0.465875,-0.623319,45,6720.188354,677.083984,0.004395,0.091309,-5.995117,-111.296387,TRUE,TRUE,4,0.862848,TRUE,FALSE,TRUE,FALSE,6,71.562988,210.771973,FALSE,8,6,5751.562988,200.771973,71.562988,210.771973,FALSE,FALSE
