User_X,User_Y,AGV_distance_X,AGV_distance_Y,AGV_speed_X,AGV_speed_Y,AGV_speed,User_speed_X,User_speed_Y,User_speed,User_velocity_X,User_velocity_Y,Wait_time,intent_to_cross,Gazing_station,possible_interaction,facing_along_sidewalk,facing_to_road,On_sidewalks,On_road,closest_station,distance_to_closest_station,distance_to_closest_station_X,distance_to_closest_station_Y,looking_at_AGV,GazeDirection_X,GazeDirection_Y,GazeDirection_Z,AGV_X,AGV_Y,looking_at_closest_station
1543.352,8572.604,21.56673,27.35291,0,2.9687,2.9687,0.0147,0.0378,0.040557737,-0.0147,0.0378,0,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,116.3200444,36.648,110.396,TRUE,-0.476,-0.678,-0.56,3700.025,11307.895,FALSE
1543.281,8574.817,21.56747,27.02554,0,3.0863,3.0863,0.0294,0.1561,0.158844484,0.0294,0.1561,0,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,114.244678,36.719,108.183,TRUE,-0.45,-0.72,-0.528,3700.028,11277.371,FALSE
1543.267,8575.058,21.56765,26.70307,0.0007,3.255,3.255000075,0.0035,0.0133,0.013752818,-0.0035,0.0133,0,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,114.0210009,36.733,107.942,TRUE,-0.389,-0.775,-0.499,3700.032,11245.365,FALSE
1543.259,8575.093,21.56777,26.36485,0.0007,3.4188,3.418800072,0,0,0,0,0,0,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,113.9904458,36.741,107.907,TRUE,-0.282,-0.818,-0.502,3700.036,11211.578,FALSE
1543.259,8575.093,21.56782,26.01127,0.0007,3.6617,3.661700067,0,0,0,0,0,0,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,113.9904458,36.741,107.907,TRUE,-0.148,-0.853,-0.5,3700.041,11176.22,FALSE
1543.259,8575.093,21.56787,25.64245,0,3.7604,3.7604,0,0,0,0,0,0,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,113.9904458,36.741,107.907,TRUE,0.037,-0.861,-0.507,3700.046,11139.338,FALSE
1543.259,8575.093,21.56793,25.25907,0.0007,3.7625,3.762500065,0,0,0,0,0,0,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,113.9904458,36.741,107.907,TRUE,0.189,-0.85,-0.492,3700.052,11101,FALSE
1543.19,8575.092,21.56869,24.85727,0.0007,4.1125,4.11250006,0.0483,0.0007,0.048305072,-0.0483,-0.0007,0,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,114.0136508,36.81,107.908,TRUE,0.295,-0.845,-0.445,3700.059,11060.819,FALSE
1541.65,8574.635,21.58417,24.44224,0.0014,4.3169,4.316900227,0.1393,0.0588,0.15120162,-0.1393,-0.0588,0,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,114.9508405,38.35,108.365,TRUE,0.437,-0.802,-0.407,3700.067,11018.859,FALSE
1540.295,8573.953,21.5978,24.01268,0.0014,4.5045,4.504500218,0.1337,0.0763,0.153939534,-0.1337,-0.0763,0,FALSE,4,FALSE,FALSE,TRUE,FALSE,FALSE,1,116.0505719,39.705,109.047,TRUE,0.613,-0.696,-0.374,3700.075,10975.221,TRUE
1539.024,8573.153,21.6106,23.56475,0.0014,4.7754,4.775400205,0.1113,0.0756,0.134547575,-0.1113,-0.0756,0,FALSE,4,FALSE,TRUE,FALSE,FALSE,FALSE,1,117.2407608,40.976,109.847,TRUE,0.744,-0.575,-0.342,3700.084,10929.628,TRUE
1535.931,8573.346,21.64163,23.09087,0.0014,4.8237,4.823700203,0.861,0.0567,0.862864931,-0.861,0.0567,0,TRUE,4,FALSE,TRUE,TRUE,FALSE,FALSE,1,118.1781557,44.069,109.654,TRUE,0.807,-0.507,-0.302,3700.094,10882.433,TRUE
1530.399,8572.497,21.69705,22.6059,0.0007,5.0141,5.014100049,0.3941,0.1904,0.437683641,-0.3941,-0.1904,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,121.1246144,49.601,110.503,TRUE,0.854,-0.439,-0.279,3700.104,10833.087,TRUE
1529.382,8572.144,21.70734,22.09517,0.0014,5.1268,5.126800191,0.0616,0.0161,0.063669223,-0.0616,-0.0161,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,121.8656418,50.618,110.856,TRUE,0.867,-0.405,-0.291,3700.116,10781.661,TRUE
1529.382,8572.144,21.70747,21.55983,0.0014,5.3879,5.387900182,0,0,0,0,0,0,TRUE,6,FALSE,TRUE,TRUE,FALSE,FALSE,1,121.8656418,50.618,110.856,TRUE,0.866,-0.397,-0.305,3700.129,10728.127,TRUE
1529.382,8572.144,21.70761,21.00111,0.0014,5.6994,5.699400172,0,0,0,0,0,0,TRUE,6,FALSE,TRUE,TRUE,FALSE,FALSE,1,121.8656418,50.618,110.856,TRUE,0.871,-0.388,-0.301,3700.143,10672.255,TRUE
1529.384,8572.158,21.70774,20.41884,0.0014,5.9514,5.951400165,0.0014,0.0098,0.009899495,0.0014,0.0098,0,TRUE,6,FALSE,TRUE,TRUE,FALSE,FALSE,1,121.852076,50.616,110.842,TRUE,0.863,-0.401,-0.308,3700.158,10614.042,TRUE
1529.384,8572.158,21.7079,19.81356,0.0014,6.0501,6.050100162,0,0,0,0,0,0,TRUE,6,FALSE,TRUE,TRUE,FALSE,FALSE,1,121.852076,50.616,110.842,TRUE,0.841,-0.43,-0.327,3700.174,10553.514,TRUE
1529.384,8572.158,21.70808,19.18262,0.0021,6.3714,6.371400346,0,0,0,0,0,0,TRUE,6,FALSE,TRUE,TRUE,FALSE,FALSE,1,121.852076,50.616,110.842,TRUE,0.817,-0.444,-0.367,3700.192,10490.42,TRUE
1529.374,8572.169,21.70837,18.52768,0.0021,6.5366,6.536600337,0,0,0,0,0,0,TRUE,6,FALSE,TRUE,TRUE,FALSE,FALSE,1,121.8462245,50.626,110.831,TRUE,0.834,-0.413,-0.365,3700.211,10424.937,TRUE
