AGV_name,User_X,User_Y,AGV_X,AGV_Y,GazeDirection_X,GazeDirection_Y,GazeDirection_Z
AGV1,1593.675,8468.556,3700.0,11579.905,0.171,0.37,-0.913
AGV1,1593.675,8468.556,3699.993,11579.696,0.146,0.339,-0.929
AGV1,1593.675,8468.556,3699.996,11578.254,0.172,0.312,-0.934
AGV1,1593.675,8468.556,3700.001,11575.316,0.214,0.313,-0.925
AGV1,1594.236,8468.689,3700.004,11570.81,0.273,0.294,-0.916
AGV1,1596.161,8469.459,3700.002,11564.74,0.409,0.178,-0.895
AGV1,1598.444,8470.878,3700.0,11556.952,0.482,0.05,-0.874
AGV1,1601.762,8474.028,3700.002,11547.52,0.529,-0.057,-0.846
AGV1,1605.991,8478.714,3700.005,11536.463,0.56,-0.147,-0.815
AGV1,1610.11,8483.261,3700.007,11523.87,0.52,-0.358,-0.775
AGV1,1614.831,8488.523,3700.008,11509.608,0.438,-0.561,-0.702
AGV1,1618.521,8491.146,3700.008,11493.681,0.414,-0.54,-0.733
AGV1,1621.607,8495.054,3700.009,11476.161,0.164,-0.495,-0.853
AGV1,1624.262,8499.196,3700.011,11457.074,0.164,-0.513,-0.842
AGV1,1622.656,8499.203,3700.013,11436.27,0.169,-0.53,-0.831
AGV1,1618.988,8497.489,3700.015,11413.885,0.174,-0.55,-0.816
AGV1,1620.318,8498.641,3700.017,11389.928,0.144,-0.568,-0.81
AGV1,1622.739,8498.241,3700.02,11364.181,0.16,-0.674,-0.721
AGV1,1621.507,8502.79,3700.022,11337.13,0.15,-0.724,-0.673
AGV1,1618.745,8512.826,3700.025,11308.166,0.128,-0.773,-0.621
AGV1,1618.501,8521.415,3700.028,11277.451,0.006,-0.999,-0.027
AGV1,1621.408,8527.29,3700.032,11245.46,-0.039,-0.998,-0.051
AGV1,1624.815,8530.912,3700.036,11211.781,-0.038,-0.995,-0.094
AGV1,1629.164,8536.47,3700.041,11176.608,-0.048,-0.996,-0.066
AGV1,1634.718,8543.128,3700.046,11139.621,-0.03,-0.998,-0.06
AGV1,1639.943,8549.191,3700.052,11101.234,0.134,-0.988,-0.079
AGV1,1648.239,8549.848,3700.059,11061.127,0.8,-0.596,-0.065
AGV1,1658.536,8542.311,3700.067,11019.494,0.994,-0.094,-0.045
AGV1,1664.146,8534.433,3700.074,10975.589,0.952,-0.293,-0.084
AGV1,1672.25,8521.663,3700.083,10930.004,0.838,-0.526,-0.141
AGV1,1681.592,8506.651,3700.093,10882.71,0.75,-0.637,-0.179
AGV1,1684.237,8502.365,3700.104,10833.424,0.542,-0.807,-0.234
AGV1,1682.215,8505.617,3700.116,10782.179,-0.454,-0.868,-0.203
AGV1,1684.495,8502.102,3700.129,10728.423,-0.957,-0.285,-0.064
AGV1,1690.179,8493.445,3700.143,10672.286,-0.969,-0.212,-0.127
AGV1,1698.252,8481.203,3700.158,10614.114,-0.823,-0.529,-0.206
AGV1,1707.208,8467.712,3700.174,10553.468,-0.613,-0.759,-0.221
AGV1,1717.972,8451.62,3700.192,10490.066,0.011,-0.995,-0.094
AGV1,1737.24,8422.844,3700.225,10378.852,0.286,-0.954,-0.086
