AGV_name,User_X,User_Y,AGV_X,AGV_Y,GazeDirection_X,GazeDirection_Y,GazeDirection_Z
AGV1,1592.099,8445.139,3700.0,11579.905,0.155,0.326,-0.933
AGV1,1592.099,8445.139,3699.993,11579.699,0.15,0.319,-0.936
AGV1,1592.099,8445.139,3699.996,11578.261,0.159,0.317,-0.935
AGV1,1592.099,8445.139,3700.001,11575.337,0.166,0.319,-0.933
AGV1,1592.099,8445.139,3700.004,11570.889,0.316,0.287,-0.904
AGV1,1592.099,8445.139,3700.002,11564.718,0.325,0.275,-0.905
AGV1,1592.099,8445.139,3700.001,11556.877,0.348,0.297,-0.889
AGV1,1592.119,8445.056,3700.002,11547.419,0.394,0.28,-0.875
AGV1,1592.113,8444.897,3700.005,11536.445,0.415,0.151,-0.897
AGV1,1591.708,8443.892,3700.007,11523.806,0.419,0.098,-0.903
AGV1,1591.004,8442.35,3700.008,11509.526,0.391,0.154,-0.907
AGV1,1593.22,8447.045,3700.008,11493.613,0.396,0.169,-0.902
AGV1,1597.062,8454.866,3700.01,11476.012,0.296,0.145,-0.944
AGV1,1600.792,8462.229,3700.012,11456.706,0.382,0.122,-0.916
AGV1,1604.204,8469.772,3700.014,11436.075,0.442,0.08,-0.893
AGV1,1606.096,8476.156,3700.016,11413.654,0.443,0.007,-0.896
AGV1,1602.919,8482.577,3700.018,11389.508,0.292,-0.305,-0.906
AGV1,1603.243,8484.428,3700.02,11363.9,0.288,-0.354,-0.89
AGV1,1604.62,8485.422,3700.023,11336.785,0.298,-0.464,-0.834
AGV1,1606.309,8486.295,3700.026,11307.808,0.286,-0.493,-0.821
AGV1,1608.083,8487.045,3700.029,11277.457,0.289,-0.554,-0.781
AGV1,1607.847,8487.02,3700.032,11245.247,0.279,-0.576,-0.768
AGV1,1604.528,8486.444,3700.036,11211.766,0.286,-0.574,-0.767
AGV1,1602.218,8486.491,3700.041,11176.435,0.293,-0.572,-0.766
AGV1,1607.252,8493.808,3700.047,11139.642,0.283,-0.568,-0.773
AGV1,1621.01,8499.786,3700.052,11100.936,0.276,-0.56,-0.781
AGV1,1636.114,8499.176,3700.059,11061.056,0.311,-0.576,-0.756
AGV1,1645.711,8495.988,3700.067,11019.019,0.261,-0.583,-0.769
AGV1,1648.97,8494.492,3700.075,10975.578,0.206,-0.588,-0.782
AGV1,1655.679,8490.655,3700.084,10930.062,0.139,-0.591,-0.794
AGV1,1663.913,8483.856,3700.094,10882.891,0.028,-0.6,-0.799
AGV1,1676.554,8470.972,3700.104,10833.326,0.055,-0.6,-0.798
AGV1,1684.254,8461.803,3700.116,10782.029,0.105,-0.665,-0.739
AGV1,1689.667,8453.786,3700.129,10728.632,0.095,-0.652,-0.752
AGV1,1692.138,8450.699,3700.142,10672.469,0.084,-0.67,-0.737
