AGV_name,User_X,User_Y,AGV_X,AGV_Y,GazeDirection_X,GazeDirection_Y,GazeDirection_Z
AGV10,9803.252,5936.511,12455.827,6679.767,-0.978,-0.042,-0.205
AGV10,9778.808,5937.429,12422.855,6679.763,-0.972,-0.033,-0.232
AGV10,9748.001,5939.198,12388.219,6679.759,-0.967,0.005,-0.254
AGV10,9702.76,5941.49,12352.031,6679.754,-0.97,0.002,-0.245
AGV10,9650.393,5942.802,12314.326,6679.748,-0.969,-0.0,-0.247
AGV10,9592.947,5942.572,12274.641,6679.742,-0.969,0.021,-0.246
AGV10,9540.101,5941.7,12233.804,6679.735,-0.953,-0.01,-0.302
AGV10,9475.944,5941.372,12190.873,6679.727,-0.96,-0.02,-0.28
AGV10,9408.452,5943.045,12146.478,6679.719,-0.975,-0.001,-0.221
AGV10,9344.388,5946.992,12099.556,6679.71,-0.984,-0.05,-0.173
AGV10,9298.221,5951.156,12051.124,6679.699,-0.978,-0.066,-0.199
AGV10,9266.327,5954.177,12000.707,6679.689,-0.976,-0.073,-0.205
AGV10,9221.211,5957.812,11948.242,6679.676,-0.975,-0.055,-0.216
AGV10,9165.08,5960.231,11893.206,6679.663,-0.979,-0.046,-0.199
AGV10,9109.655,5958.009,11836.236,6679.649,-0.977,-0.032,-0.212
AGV10,9077.225,5955.542,11776.842,6679.633,-0.977,-0.049,-0.209
AGV10,9046.801,5952.318,11715.101,6679.617,-0.966,-0.049,-0.253
AGV10,9004.614,5947.868,11650.663,6679.599,-0.965,-0.051,-0.257
AGV10,8942.713,5942.414,11584.559,6679.58,-0.971,-0.057,-0.231
AGV10,8871.499,5939.065,11519.546,6679.562,-0.962,-0.052,-0.267
AGV10,8829.723,5940.08,11453.477,6679.542,-0.974,-0.069,-0.216
AGV10,8817.93,5943.157,11388.177,6679.523,-0.956,-0.119,-0.268
AGV10,8786.385,5944.604,11322.511,6679.503,-0.965,-0.131,-0.226
AGV10,8735.498,5943.404,11259.645,6679.485,-0.976,-0.058,-0.208
AGV10,8689.46,5939.755,11208.745,6679.47,-0.987,-0.04,-0.158
AGV10,8650.835,5934.673,11172.361,6679.459,-0.982,-0.043,-0.181
AGV10,8620.228,5930.237,11150.089,6679.453,-0.966,-0.142,-0.215
AGV10,8589.382,5926.963,11137.695,6679.45,-0.967,-0.175,-0.185
AGV10,8546.211,5922.745,11124.022,6679.446,-0.966,-0.183,-0.182
AGV10,8499.035,5919.558,11108.707,6679.441,-0.968,-0.167,-0.188
AGV10,8471.856,5919.114,11092.316,6679.437,-0.97,-0.167,-0.179
AGV10,8446.29,5920.19,11074.685,6679.432,-0.963,-0.168,-0.209
AGV10,8408.39,5922.211,11055.823,6679.427,-0.984,-0.025,-0.174
AGV10,8355.83,5923.503,11035.158,6679.421,-0.973,0.007,-0.23
AGV10,8297.317,5922.444,11012.695,6679.415,-0.966,-0.002,-0.257
AGV10,8244.115,5919.097,10988.544,6679.409,-0.944,-0.249,-0.215
AGV10,8209.982,5916.187,10962.647,6679.402,-0.94,-0.27,-0.21
AGV10,8182.387,5914.628,10935.213,6679.395,-0.93,-0.283,-0.233
AGV10,8145.587,5915.865,10906.219,6679.387,-0.934,-0.293,-0.202
AGV10,8099.644,5920.93,10875.696,6679.379,-0.927,-0.303,-0.219
AGV10,8065.237,5927.71,10843.611,6679.371,-0.915,-0.336,-0.223
AGV10,8054.547,5933.802,10809.771,6679.362,-0.858,-0.181,-0.481
AGV10,8028.704,5941.043,10774.41,6679.352,-0.852,-0.438,-0.286
AGV10,7991.304,5949.222,10737.177,6679.342,-0.829,-0.495,-0.26
AGV10,7948.367,5956.572,10698.77,6679.332,-0.817,-0.52,-0.25
AGV10,7904.095,5961.214,10658.331,6679.321,-0.772,-0.587,-0.243
AGV10,7879.754,5962.506,10616.597,6679.308,-0.732,-0.631,-0.257
AGV10,7863.37,5963.254,10572.445,6679.295,-0.711,-0.655,-0.255
AGV10,7839.539,5967.292,10527.052,6679.281,-0.699,-0.652,-0.293
AGV10,7814.587,5973.681,10479.471,6679.265,-0.667,-0.681,-0.302
AGV10,7788.295,5979.921,10430.0,6679.249,-0.629,-0.734,-0.256
AGV10,7755.593,5985.462,10378.587,6679.231,-0.511,-0.802,-0.309
AGV10,7721.37,5991.123,10324.902,6679.212,-0.446,-0.837,-0.315
AGV10,7711.455,5992.379,10268.872,6679.192,-0.394,-0.866,-0.309
AGV10,7711.021,5992.424,10213.651,6679.171,-0.224,-0.914,-0.338
AGV10,7711.064,5992.449,10164.768,6679.153,-0.197,-0.921,-0.336
AGV10,7711.73,5995.829,10124.654,6679.138,-0.173,-0.934,-0.313
AGV10,7711.856,5997.329,10094.264,6679.127,-0.215,-0.925,-0.312
AGV10,7711.135,6000.421,10072.652,6679.119,-0.101,-0.935,-0.338
AGV10,7710.94,6000.778,10052.349,6679.111,-0.129,-0.935,-0.329
AGV10,7708.496,6001.22,10029.962,6679.103,-0.273,-0.899,-0.341
AGV10,7702.008,5999.856,10008.248,6679.095,-0.265,-0.905,-0.331
AGV10,7698.424,5993.617,9986.787,6679.087,-0.27,-0.924,-0.272
AGV10,7698.131,5986.617,9965.234,6679.079,-0.249,-0.917,-0.311
