AGV_name,User_X,User_Y,AGV_X,AGV_Y,GazeDirection_X,GazeDirection_Y,GazeDirection_Z
AGV1,1373.129,7698.932,3518.624,7687.011,0.149,-0.974,-0.17
AGV1,1369.147,7672.567,3494.065,7627.062,0.16,-0.969,-0.185
AGV1,1365.581,7640.521,3464.174,7568.052,0.119,-0.984,-0.132
AGV1,1365.201,7626.161,3430.362,7512.07,0.114,-0.979,-0.168
AGV1,1363.91,7608.919,3392.109,7458.136,0.13,-0.98,-0.148
AGV1,1357.062,7586.461,3351.276,7406.595,0.16,-0.984,-0.074
AGV1,1350.668,7562.598,3312.268,7352.961,0.142,-0.988,-0.061
AGV1,1343.116,7536.934,3272.46,7300.973,0.153,-0.985,-0.077
AGV1,1334.285,7511.201,3228.14,7252.774,0.169,-0.983,-0.066
AGV1,1323.438,7480.656,3178.91,7208.903,0.174,-0.98,-0.092
AGV1,1313.838,7451.211,3126.816,7168.779,0.191,-0.975,-0.111
AGV1,1307.234,7426.848,3072.382,7133.011,0.095,-0.954,-0.284
AGV1,1302.717,7403.505,3014.613,7100.547,0.205,-0.973,-0.108
AGV1,1299.319,7377.228,2956.917,7070.004,0.196,-0.971,-0.134
AGV1,1296.958,7349.294,2899.856,7037.862,0.185,-0.959,-0.214
AGV1,1295.661,7324.826,2842.272,7005.877,0.19,-0.654,-0.732
AGV1,1295.173,7314.629,2783.46,6978.089,0.097,-0.486,-0.868
AGV1,1292.185,7299.77,2721.42,6956.107,0.114,-0.535,-0.837
AGV1,1289.131,7282.582,2658.872,6934.973,0.2,-0.606,-0.77
AGV1,1285.308,7264.725,2597.874,6911.338,0.604,-0.765,-0.223
AGV1,1280.781,7246.926,2536.112,6889.999,0.893,-0.435,-0.109
AGV1,1276.025,7229.284,2472.556,6873.777,0.864,-0.475,-0.167
AGV1,1272.236,7214.166,2408.773,6860.61,0.822,-0.532,-0.202
AGV1,1267.256,7190.805,2344.626,6843.739,0.815,-0.507,-0.279
AGV1,1264.694,7167.777,2281.773,6826.984,0.81,-0.504,-0.298
AGV1,1263.629,7144.036,2218.155,6810.134,0.8,-0.529,-0.281
AGV1,1263.232,7121.324,2155.141,6793.339,0.719,-0.605,-0.341
AGV1,1263.317,7119.162,2092.34,6776.53,0.648,-0.651,-0.394
AGV1,1263.608,7118.548,2028.408,6759.413,0.582,-0.693,-0.425
AGV1,1263.64,7118.44,1965.41,6743.215,0.495,-0.764,-0.414
AGV1,1263.64,7118.44,1902.364,6729.764,0.385,-0.87,-0.306
AGV1,1263.64,7118.44,1846.62,6721.587,0.328,-0.891,-0.312
AGV1,1263.64,7118.44,1801.879,6718.015,0.527,-0.801,-0.283
AGV1,1263.64,7118.44,1769.975,6715.666,0.593,-0.754,-0.281
AGV1,1263.64,7118.44,1751.051,6713.453,0.528,-0.796,-0.296
AGV1,1263.64,7118.44,1744.762,6712.791,0.288,-0.843,-0.454
AGV1,1263.64,7118.44,1744.013,6712.791,0.193,-0.866,-0.46
