AGV_name,User_X,User_Y,AGV_X,AGV_Y,GazeDirection_X,GazeDirection_Y,GazeDirection_Z
AGV1,1823.926,8007.053,3683.389,9157.996,-0.082,-0.985,-0.152
AGV1,1821.713,8000.007,3682.636,9136.381,-0.087,-0.984,-0.153
AGV1,1819.992,7993.127,3681.838,9114.833,-0.084,-0.988,-0.132
AGV1,1817.753,7987.239,3681.061,9093.38,-0.052,-0.954,-0.296
AGV1,1816.811,7980.217,3680.013,9071.557,-0.07,-0.985,-0.157
AGV1,1818.785,7974.076,3678.987,9046.117,-0.087,-0.985,-0.151
AGV1,1819.023,7974.709,3678.018,9023.631,-0.062,-0.978,-0.196
AGV1,1818.172,7967.905,3677.078,9001.567,-0.047,-0.981,-0.186
AGV1,1818.311,7959.86,3676.074,8980.056,-0.074,-0.984,-0.159
AGV1,1818.017,7949.91,3674.846,8958.308,-0.024,-0.975,-0.219
AGV1,1816.95,7938.326,3673.929,8936.827,-0.003,-0.984,-0.179
AGV1,1815.405,7929.454,3672.848,8915.324,-0.026,-0.982,-0.184
AGV1,1812.241,7916.47,3671.867,8893.549,-0.05,-0.983,-0.177
AGV1,1811.762,7903.715,3670.616,8872.1,-0.055,-0.989,-0.136
AGV1,1810.883,7886.879,3669.423,8850.464,-0.041,-0.985,-0.164
AGV1,1810.883,7864.875,3668.377,8829.171,-0.059,-0.982,-0.177
AGV1,1812.196,7847.547,3667.189,8807.441,-0.067,-0.99,-0.126
AGV1,1814.29,7828.302,3666.086,8786.113,-0.05,-0.99,-0.132
AGV1,1816.341,7808.768,3664.607,8764.544,-0.054,-0.991,-0.124
AGV1,1818.009,7788.597,3663.463,8742.938,-0.07,-0.991,-0.115
AGV1,1819.236,7768.348,3662.164,8721.227,-0.084,-0.994,-0.063
AGV1,1819.162,7753.93,3660.91,8699.81,-0.091,-0.989,-0.119
AGV1,1820.616,7734.247,3659.529,8678.387,-0.157,-0.979,-0.13
AGV1,1825.805,7707.313,3657.877,8656.721,-0.083,-0.991,-0.103
AGV1,1835.068,7680.733,3656.619,8635.308,-0.081,-0.992,-0.096
AGV1,1846.763,7654.482,3655.226,8613.598,-0.117,-0.987,-0.107
AGV1,1854.863,7638.026,3653.817,8591.944,-0.12,-0.983,-0.136
AGV1,1859.464,7629.335,3651.862,8570.428,-0.124,-0.983,-0.137
AGV1,1863.2,7622.118,3650.338,8548.722,-0.147,-0.981,-0.124
AGV1,1866.688,7614.77,3648.905,8527.09,-0.136,-0.978,-0.155
AGV1,1869.696,7607.746,3647.449,8505.868,-0.106,-0.985,-0.137
AGV1,1872.109,7601.384,3645.606,8484.214,-0.114,-0.986,-0.123
AGV1,1873.985,7596.292,3643.206,8462.578,-0.137,-0.982,-0.131
AGV1,1876.018,7590.964,3641.559,8441.29,-0.157,-0.973,-0.168
AGV1,1878.48,7584.668,3639.914,8419.762,-0.138,-0.969,-0.204
AGV1,1882.169,7575.333,3638.255,8398.27,-0.108,-0.978,-0.179
AGV1,1887.505,7561.79,3636.325,8376.793,-0.095,-0.979,-0.177
AGV1,1891.739,7550.882,3634.091,8355.172,-0.252,-0.891,-0.378
AGV1,1896.219,7538.628,3632.304,8333.665,-0.079,-0.981,-0.176
AGV1,1900.306,7524.672,3630.033,8312.18,-0.118,-0.98,-0.161
AGV1,1903.491,7509.273,3627.345,8290.538,-0.129,-0.98,-0.148
AGV1,1906.194,7492.662,3625.375,8269.108,-0.133,-0.978,-0.158
AGV1,1908.634,7475.679,3623.236,8247.601,-0.119,-0.981,-0.151
AGV1,1911.349,7458.278,3620.352,8226.073,-0.126,-0.978,-0.163
AGV1,1915.403,7437.32,3617.71,8204.434,-0.152,-0.977,-0.149
AGV1,1920.799,7415.057,3615.462,8182.809,-0.147,-0.979,-0.138
AGV1,1927.116,7397.94,3612.783,8161.704,-0.153,-0.983,-0.1
AGV1,1935.157,7382.732,3609.04,8140.488,-0.167,-0.981,-0.096
AGV1,1940.754,7373.107,3606.09,8118.946,-0.176,-0.973,-0.15
AGV1,1946.139,7364.129,3603.464,8097.601,-0.186,-0.971,-0.149
AGV1,1947.794,7354.319,3600.208,8076.072,-0.185,-0.966,-0.181
AGV1,1944.93,7347.894,3595.843,8054.818,-0.269,-0.905,-0.329
AGV1,1941.95,7340.669,3592.431,8033.672,-0.189,-0.958,-0.215
AGV1,1940.592,7331.755,3589.377,8012.25,-0.237,-0.948,-0.211
AGV1,1942.525,7321.912,3585.863,7991.091,-0.243,-0.943,-0.228
AGV1,1943.793,7314.732,3581.099,7969.903,-0.232,-0.941,-0.246
AGV1,1944.52,7310.167,3575.635,7949.083,-0.222,-0.94,-0.257
AGV1,1945.171,7306.017,3571.682,7927.625,-0.242,-0.936,-0.254
AGV1,1946.098,7299.923,3567.862,7906.831,-0.248,-0.934,-0.256
AGV1,1947.194,7292.046,3563.174,7885.647,-0.214,-0.937,-0.276
AGV1,1948.065,7284.949,3557.029,7864.998,-0.155,-0.945,-0.288
AGV1,1948.286,7282.133,3550.437,7844.264,-0.126,-0.981,-0.146
AGV1,1947.988,7276.648,3545.519,7823.395,-0.14,-0.982,-0.128
AGV1,1946.568,7265.956,3539.934,7802.521,-0.159,-0.98,-0.123
AGV1,1943.769,7250.992,3534.919,7781.53,-0.183,-0.977,-0.107
AGV1,1939.045,7230.754,3529.901,7760.518,-0.217,-0.964,-0.151
AGV1,1934.476,7212.515,3524.035,7739.697,-0.227,-0.961,-0.159
AGV1,1931.318,7199.145,3516.56,7719.448,-0.215,-0.969,-0.118
AGV1,1928.912,7185.612,3507.502,7699.533,-0.196,-0.974,-0.114
AGV1,1927.047,7168.838,3497.94,7679.988,-0.179,-0.972,-0.154
AGV1,1926.416,7151.15,3488.293,7660.281,-0.154,-0.927,-0.342
AGV1,1926.458,7136.199,3479.71,7640.563,-0.165,-0.964,-0.209
AGV1,1926.492,7125.402,3469.568,7621.606,-0.198,-0.958,-0.207
AGV1,1926.274,7114.861,3459.809,7602.1,-0.185,-0.956,-0.226
AGV1,1925.731,7103.818,3449.046,7583.499,-0.174,-0.953,-0.246
AGV1,1925.044,7093.211,3439.213,7564.434,-0.174,-0.959,-0.224
AGV1,1924.506,7084.303,3427.763,7545.978,-0.197,-0.962,-0.19
AGV1,1924.275,7072.963,3416.71,7527.371,-0.209,-0.932,-0.295
AGV1,1926.826,7055.437,3404.388,7509.231,-0.183,-0.932,-0.311
