AGV distance X,AGV distance Y,AGV speed X,AGV speed Y,AGV speed,User speed X,User speed Y,User speed,User velocity X,User velocity Y,Wait time,intent_to_cross,Gazing_station,possible_interaction,facing_along_sidewalk,facing_to_road,On sidewalks,On road,closest_station,distance_to_closest_station,distance_to_closest_station_X,distance_to_closest_station_Y,looking_at_AGV,start_station_X,start_station_Y,end_station_X,end_station_Y,distance_from_start_station_X,distance_from_start_station_Y,distance_from_end_station_X,distance_from_end_station_Y,facing_start_station,facing_end_station,GazeDirection_X,GazeDirection_Y,GazeDirection_Z,AGV_X,AGV_Y,User_X,User_Y,AGV_name,TimestampID,Timestamp,Gaze ratio
20.799109830508478,30.86601050847459,0.0,0.0,0.0,0.0,0.0,0.0,,,0,False,1,False,False,True,False,False,1,208.2363240026495,40.08901694915244,204.34098305084808,True,1580,8683,1605,5800,40.08901694915244,204.34098305084808,15.089016949152438,2678.659016949152,True,False,-0.2746779661016949,0.27727118644067794,-0.9094576271186441,3700.0,11565.260067796611,1620.0890169491524,8478.659016949152,AGV1,1,0 days 16:24:07,0.0
20.706454305555553,29.626173194444437,0.0001312499999994543,1.2586976224105637,1.2586976292535743,0.09278677495291959,0.018860308380408242,0.09468419529344824,0.09278677495291959,-0.018860308380408242,0,False,2,False,False,False,False,False,1,212.05365008008704,49.367694444444396,206.2270138888889,True,1580,8683,1605,5800,49.367694444444396,206.2270138888889,24.367694444444396,2676.772986111111,False,False,-0.37180555555555556,-0.2105972222222222,-0.8768888888888889,3700.013125,11439.390305555555,1629.3676944444444,8476.772986111111,AGV1,2,0 days 16:24:08,0.0
20.584370140845067,26.562979436619717,0.0003457922535199032,3.0072908020344222,3.0072908219148213,0.12242995696400612,0.05590295579029771,0.13458913339605233,0.12242995696400612,0.05590295579029771,0,False,2,False,False,False,False,False,1,209.8832291389214,61.61069014084501,200.63671830985913,True,1580,8683,1605,5800,61.61069014084501,200.63671830985913,36.61069014084501,2682.363281690141,False,True,0.08394366197183098,-0.6122535211267606,-0.783661971830986,3700.047704225352,11138.661225352113,1641.610690140845,8482.36328169014,AGV1,3,0 days 16:24:09,0.0
20.845383472222224,23.066427361111128,0.000999346635371694,4.797021003521113,4.79702110761631,0.2600139847417836,1.300468928012524,1.32620764022356,-0.2600139847417836,-1.300468928012524,0,False,2,False,False,True,True,False,1,332.59535822149803,35.60929166666665,330.68361111111153,True,1580,8683,1605,5800,35.60929166666665,330.68361111111153,10.60929166666665,2552.3163888888885,False,True,0.11493055555555556,-0.5536805555555556,-0.8233472222222222,3700.147638888889,10658.959125000001,1615.6092916666666,8352.316388888888,AGV1,4,0 days 16:24:10,0.0
20.964417777777776,20.166888750000016,0.0007431944444488181,6.494746388888888,6.494746431410793,0.11977750000000015,3.5952077777777776,3.597202470656896,-0.11977750000000015,-3.5952077777777776,0,False,2,False,False,True,False,True,1,690.6088243014482,23.631541666666635,690.2043888888893,True,1580,8683,1605,5800,23.631541666666635,690.2043888888893,1.3684583333333649,2192.7956111111107,False,True,0.12304166666666666,-0.5537361111111111,-0.8226249999999999,3700.073319444444,10009.484486111112,1603.6315416666666,7992.795611111111,AGV1,5,0 days 16:24:11,0.0
20.97944830985916,16.82883352112676,0.10645474374021432,6.694375987871681,6.69522236221156,0.12148527582159659,3.356320758998427,3.358518677858622,-0.12148527582159659,-3.356320758998427,0,False,2,True,False,True,False,True,1,1025.9007320899564,11.483014084506976,1025.836464788732,True,1580,8683,1605,5800,11.483014084506976,1025.836464788732,13.516985915493024,1857.163535211268,False,True,0.13846478873239437,-0.5517887323943662,-0.8214225352112676,3689.427845070423,9340.046887323944,1591.483014084507,7657.163535211268,AGV1,6,0 days 16:24:12,0.0
20.67551125,13.689681666666674,0.3151223395931174,6.683421651017215,6.69084651252712,0.011185279733958851,3.5442697965571277,3.5442874461970253,-0.011185279733958851,-3.5442697965571277,0,False,2,True,False,True,False,True,1,1380.3023576890646,10.364486111111091,1380.2634444444448,True,1580,8683,1605,5800,10.364486111111091,1380.2634444444448,14.635513888888909,1502.7365555555552,False,True,0.07290277777777777,-0.8584305555555556,-0.3509583333333333,3657.915611111111,8671.704722222223,1590.364486111111,7302.736555555555,AGV1,7,0 days 16:24:13,0.0
19.504750833333333,10.42722041666667,0.7578284722222225,6.681917083333337,6.724754263306024,0.41293194444444453,3.419455833333332,3.444298330118926,0.41293194444444453,-3.419455833333332,0,False,2,True,False,True,False,True,2,1161.0970300217004,26.657680555555544,1160.790972222222,True,1580,8683,1605,5800,51.657680555555544,1722.209027777778,26.657680555555544,1160.790972222222,False,True,0.029513888888888888,-0.8050694444444444,-0.44402777777777774,3582.132763888889,8003.513013888889,1631.6576805555555,6960.790972222222,AGV1,8,0 days 16:24:14,0.0
16.622053333333337,7.41937277777778,2.5368141666666633,6.090885138888889,6.598053341049783,0.34588333333333365,3.0830375000000005,3.102379007581767,0.34588333333333365,-3.0830375000000005,0,False,2,True,False,True,False,True,2,854.6844670809445,61.24601388888891,852.487222222222,True,1580,8683,1605,5800,86.24601388888891,2030.512777777778,61.24601388888891,852.487222222222,False,True,-0.02947222222222222,-0.8638888888888889,-0.3461527777777778,3328.4513472222225,7394.4245,1666.246013888889,6652.487222222222,AGV1,9,0 days 16:24:15,0.0
11.694609861111108,5.994881111111117,5.301927361111115,3.972753472222221,6.625194630616702,0.37448388888888756,2.5482618055555575,2.5756312648922814,-0.37448388888888756,-2.5482618055555575,0,True,2,True,False,True,False,True,2,598.1346400951254,23.797625000000153,597.6610416666663,True,1580,8683,1605,5800,48.79762500000015,2285.3389583333337,23.797625000000153,597.6610416666663,False,True,-0.07472222222222222,-0.957625,-0.21284722222222222,2798.258611111111,6997.149152777778,1628.7976250000002,6397.661041666666,AGV1,10,0 days 16:24:16,0.0
