PID,SCN,TimestampID,Timestamp,DatapointID,AGV_name,User_X,User_Y,User_Z,User_Pitch,User_Yaw,User_Roll,U_X,U_Y,U_Z,AGV_X,AGV_Y,AGV_Z,AGV_Pitch,AGV_Yaw,AGV_Roll,AGV_speed,EyeTarget,GazeOrigin_X,GazeOrigin_Y,GazeOrigin_Z,GazeDirection_X,GazeDirection_Y,GazeDirection_Z,Confidence
20,SLD,1,15:31:1,1,AGV1,1593.675,8468.556,-209.725,-36.275657,-119.002846,-9.383391,-57.787,-120.944,179.799,3700.0,11579.905,-296.105,0.108266,-90.0,8e-06,0.0,BP_Affordance_C_0,1651.461,8589.5,-29.926,0.171,0.37,-0.913,0.998047
20,SLD,1,15:31:1,8,AGV1,1593.675,8468.556,-209.725,-38.095983,-120.571266,-10.123485,-58.353,-121.287,179.563,3699.993,11579.696,-288.647,0.310073,-90.000004,0.008565,0.041821,BP_Affordance_C_0,1652.028,8589.843,-30.162,0.146,0.339,-0.929,0.998047
20,SLD,1,15:31:1,15,AGV1,1593.675,8468.556,-209.725,-38.760468,-123.425037,-8.473556,-58.518,-121.158,179.746,3699.996,11578.254,-279.594,0.531501,-90.000179,0.007201,0.411309,BP_Affordance_C_0,1652.193,8589.714,-29.979,0.172,0.312,-0.934,0.998047
20,SLD,1,15:31:1,22,AGV1,1593.675,8468.556,-209.725,-38.470033,-128.231516,-7.271864,-58.419,-120.358,180.342,3700.001,11575.316,-277.512,0.567689,-90.000299,0.001668,0.771991,BP_Affordance_C_0,1652.094,8588.914,-29.383,0.214,0.313,-0.925,0.998047
20,SLD,1,15:31:1,29,AGV1,1594.236,8468.689,-209.725,-36.946925,-136.794949,-4.780631,-58.235,-118.712,181.301,3700.004,11570.81,-281.33,0.497091,-90.000088,0.000245,1.142596,BP_Affordance_C_0,1652.091,8587.307,-28.424,0.273,0.294,-0.916,0.998047
20,SLD,1,15:31:1,36,AGV1,1596.161,8469.459,-209.725,-34.318869,-148.10176,-1.559358,-58.019,-116.113,182.326,3700.002,11564.74,-285.092,0.487034,-89.999581,0.003376,1.512823,BP_Affordance_C_0,1653.595,8585.302,-27.399,0.409,0.178,-0.895,0.998047
20,SLD,1,15:31:1,43,AGV1,1598.444,8470.878,-209.725,-32.155046,-161.412527,1.220202,-57.627,-112.514,183.196,3700.0,11556.952,-285.602,0.5585,-89.998987,0.006256,1.894729,BP_Affordance_C_0,1655.723,8583.139,-26.529,0.482,0.05,-0.874,0.998047
20,SLD,1,15:31:1,50,AGV1,1601.762,8474.028,-209.725,-29.431568,-174.379696,3.391264,-56.789,-108.358,184.178,3700.002,11547.52,-283.785,0.619103,-89.998443,0.00601,2.271665,BP_Affordance_C_0,1657.968,8581.786,-25.547,0.529,-0.057,-0.846,0.998047
20,SLD,1,15:31:1,57,AGV1,1605.991,8478.714,-209.725,-26.271122,175.440399,4.060621,-55.472,-104.021,184.782,3700.005,11536.463,-282.215,0.603613,-89.997913,0.004012,2.643313,BP_Affordance_C_0,1660.807,8581.958,-24.943,0.56,-0.147,-0.815,0.998047
20,SLD,1,15:31:1,64,AGV1,1610.11,8483.261,-209.725,-24.593333,164.172389,4.120637,-53.414,-99.621,185.184,3700.007,11523.87,-282.163,0.539575,-89.997315,0.002865,3.013123,BP_Affordance_C_0,1663.076,8582.375,-24.541,0.52,-0.358,-0.775,0.998047
20,SLD,2,15:31:2,5,AGV1,1614.831,8488.523,-209.725,-24.228042,152.843371,3.058299,-50.79,-95.834,185.459,3700.008,11509.608,-283.016,0.494078,-89.996626,0.003284,3.386289,BP_Affordance_C_0,1665.196,8583.962,-24.266,0.438,-0.561,-0.702,0.998047
20,SLD,2,15:31:2,12,AGV1,1618.521,8491.146,-209.725,-26.42598,141.387441,1.553691,-48.048,-92.928,185.236,3700.008,11493.681,-283.633,0.499255,-89.995897,0.004233,3.759649,BP_Affordance_C_0,1666.013,8583.594,-24.489,0.414,-0.54,-0.733,0.998047
20,SLD,2,15:31:2,19,AGV1,1621.607,8495.054,-209.725,-29.566764,129.296997,1.903899,-45.309,-91.016,184.749,3700.009,11476.161,-283.576,0.533985,-89.995176,0.00463,4.132763,BP_Affordance_C_0,1666.525,8585.471,-24.976,0.164,-0.495,-0.853,0.998047
20,SLD,2,15:31:2,26,AGV1,1624.262,8499.196,-209.725,-30.800988,118.716179,2.817899,-43.031,-90.211,184.311,3700.011,11457.074,-283.186,0.560451,-89.994471,0.004357,4.503887,BP_Affordance_C_0,1666.898,8588.807,-25.414,0.164,-0.513,-0.842,0.998047
20,SLD,2,15:31:2,33,AGV1,1622.656,8499.203,-209.725,-30.551317,111.427131,3.89926,-41.52,-90.118,184.305,3700.013,11436.27,-282.944,0.561516,-89.993759,0.003946,4.874684,BP_Affordance_C_0,1665.336,8589.897,-25.42,0.169,-0.53,-0.831,0.998047
20,SLD,2,15:31:2,40,AGV1,1618.988,8497.489,-209.725,-30.195996,106.288765,4.508087,-40.498,-90.167,184.373,3700.015,11413.885,-282.997,0.546713,-89.993031,0.003815,5.245019,BP_Affordance_C_0,1659.347,8587.441,-25.352,0.174,-0.55,-0.816,0.998047
20,SLD,2,15:31:2,47,AGV1,1620.318,8498.641,-209.725,-29.146539,102.143903,3.341103,-39.85,-89.886,184.511,3700.017,11389.928,-283.169,0.534197,-89.992289,0.003964,5.616715,BP_Affordance_C_0,1659.975,8588.459,-25.214,0.144,-0.568,-0.81,0.998047
20,SLD,2,15:31:2,54,AGV1,1622.739,8498.241,-209.725,-28.244447,98.943569,2.594353,-39.513,-89.162,184.885,3700.02,11364.181,-283.255,0.532473,-89.991537,0.004143,5.98747,BP_Affordance_C_0,1661.73,8587.563,-24.84,0.16,-0.674,-0.721,0.998047
20,SLD,2,15:31:2,61,AGV1,1621.507,8502.79,-209.725,-23.815569,96.911558,1.417097,-39.556,-87.815,186.063,3700.022,11337.13,-283.216,0.537811,-89.990798,0.004173,6.356787,NW_FactoryFloor77,1661.563,8589.079,-23.662,0.15,-0.724,-0.673,0.998047
20,SLD,2,15:31:2,68,AGV1,1618.745,8512.826,-209.725,-14.277082,95.540994,0.860051,-39.632,-86.065,187.585,3700.025,11308.166,-283.138,0.542775,-89.990052,0.0041,6.726323,NW_FactoryFloor77,1658.644,8597.692,-22.14,0.128,-0.773,-0.621,0.998047
